Node_ID,Timestamp,IP_Address,Packet_Rate,Packet_Drop_Rate,Packet_Duplication_Rate,Data_Throughput,Signal_Strength,SNR,Battery_Level,Energy_Consumption_Rate,Number_of_Neighbors,Route_Request_Frequency,Route_Reply_Frequency,Data_Transmission_Frequency,Data_Reception_Frequency,Error_Rate,CPU_Usage,Memory_Usage,Bandwidth,Is_Malicious
1,01-02-23 0:00,192.168.119.138,52.01822943,2.727316577,0.955686851,130.96718,-52.05923195,23.97426529,82.98259848,4.394328441,3,11.3230441,11.45819871,20.67053868,14.3854394,0.10914576,26.37669328,29.18634129,76.81198637,0
2,01-02-23 0:01,192.168.225.56,59.50464822,1.435057979,1.22845978,82.6343576,-57.75472258,22.57205205,66.73485256,4.795243071,6,8.27736198,8.832979624,15.55512216,14.31668089,0.077135731,34.96342879,34.20317712,112.4959121,0
3,01-02-23 0:02,192.168.187.210,34.11820358,1.320905103,1.015244773,61.64992771,-52.39903659,15.66707644,74.59360549,4.889509448,5,8.196373981,8.330227353,19.47074836,11.79208385,0.052992925,48.93458486,31.68266233,117.5261085,0
4,01-02-23 0:03,192.168.78.245,39.64305451,1.98879052,0.784561907,69.70418071,-53.72744257,20.28696227,76.71056385,3.698835698,6,10.68376571,6.525031577,16.22895472,8.895408919,0.087810288,47.04559958,37.47002707,123.0589128,0
5,01-02-23 0:04,192.168.233.229,40.21267945,1.005121183,1.412192826,123.4456125,-49.69662,24.31853807,84.47789019,5.505749718,7,11.17682314,10.61743192,12.25742301,10.16873891,0.06882348,33.39435384,26.58296954,71.69691147,0
6,01-02-23 0:05,192.168.230.20,42.53930843,1.777329484,1.226796723,140.306629,-48.16489136,22.5627825,80.79285296,3.198216752,3,9.100423857,10.91216671,17.03989611,17.09890411,0.095630397,41.59292166,37.0119241,135.1731406,0
7,01-02-23 0:06,192.168.201.178,34.3713046,2.122727787,1.238308606,82.75914919,-46.74954073,22.19985871,83.89647558,7.212986586,5,5.514883796,9.764031484,14.72952452,14.53726995,0.112990649,51.91164651,33.41331687,113.7223138,0
8,01-02-23 0:07,192.168.0.73,39.42171265,1.632755735,1.070672353,128.7442791,-47.96544949,22.0171012,73.01885304,5.282559913,3,8.785058672,7.424502182,14.02895616,16.58432645,0.150733314,43.3735353,32.51407102,101.3016177,0
9,01-02-23 0:08,192.168.35.14,64.39263825,1.771348442,0.614430915,105.5549129,-45.03000534,19.40618712,100.5053208,5.458589454,4,9.652374631,9.578266409,20.6489996,13.22087385,0.133768647,41.66268291,36.02481754,130.2145754,0
10,01-02-23 0:09,192.168.94.186,71.58640386,2.874884606,1.175555785,109.9018768,-43.94990202,27.35436372,76.64226197,5.313188569,3,8.413088979,14.57025543,15.30887066,14.96236368,0.088104711,39.46736206,31.08675542,130.3609764,0
11,01-02-23 0:10,192.168.238.206,56.2925097,1.834862699,1.079266765,99.38725256,-52.85326516,21.18917298,73.37182743,6.467397795,4,11.72327995,10.68067367,15.96430186,13.30404909,0.069455872,27.05317165,25.55638409,66.84592163,0
12,01-02-23 0:11,192.168.103.1,39.09015738,1.940063522,0.972446671,92.15198356,-46.24203813,18.99360286,80.96657116,4.598951135,3,12.22850169,8.936545824,14.21865294,12.80265815,0.13197819,28.31385048,21.77932509,80.26123015,0
13,01-02-23 0:12,192.168.24.129,58.97785908,2.073906621,0.981545033,111.5296797,-52.92099782,19.35940135,91.77036649,5.816085924,6,9.309646149,11.04450166,14.01921638,19.91070166,0.083343642,42.32665105,25.38691866,82.45738228,0
14,01-02-23 0:13,192.168.56.140,63.26352925,1.607471092,0.840876838,93.93135235,-48.6360598,22.98735024,91.07192533,4.286453423,6,9.463560178,8.477669361,14.43048213,16.14943481,0.065270927,35.10769914,29.99545384,108.5773506,0
15,01-02-23 0:14,192.168.133.9,72.79091438,3.803896596,1.377463554,57.92495823,-45.98282005,8.27124315,66.64352847,10.57032535,6,18.86950584,15.68991875,26.48356366,20.27867839,0.234626593,56.19855139,36.72945562,102.0822822,1
16,01-02-23 0:15,192.168.244.29,56.95684474,2.751962178,1.228585667,120.2668702,-55.30195933,19.92157544,90.50549534,6.492974907,2,13.50324066,9.321860985,9.932008014,14.77075448,0.105917215,22.09219539,32.66506568,91.42407414,0
17,01-02-23 0:16,192.168.193.59,28.36038044,1.996190828,0.721709441,93.14585108,-50.09482219,19.11814015,86.60788316,5.011602882,4,11.98477364,10.96709006,19.17819197,12.85033661,0.103606953,39.67661351,33.75831708,106.0604169,0
18,01-02-23 0:17,192.168.64.226,55.56968019,1.407021419,1.144767665,76.84311706,-49.8832781,21.48689378,90.30429854,3.332595154,1,9.218290342,7.915222396,19.57848186,10.96803829,0.077654465,44.51886811,42.3753551,97.84051119,0
19,01-02-23 0:18,192.168.189.150,50.65225728,1.510129433,0.706256468,106.7571349,-55.59226868,21.52633039,93.07562732,5.285339845,4,12.84784282,10.86235061,14.38393944,16.63653485,0.094039213,23.56412042,27.35946017,116.6800712,0
20,01-02-23 0:19,192.168.80.255,33.28163242,1.712054525,0.900403225,104.9010424,-45.44987015,20.94764561,96.47541541,4.585457104,5,10.39125074,8.350662752,17.73793436,14.82425,0.131927137,55.11652167,33.28469882,76.30114845,0
21,01-02-23 0:20,192.168.179.240,57.39722279,2.25736104,1.03012215,107.3873979,-39.1622592,23.00433104,87.56358206,4.130911711,3,10.81747858,8.788388457,15.40928786,15.44007294,0.103312539,28.51532875,25.22766664,103.514132,0
22,01-02-23 0:21,192.168.194.254,56.58339079,2.422656763,1.271203338,78.35886776,-49.60057121,25.60706534,81.10973581,4.213062157,7,12.11985192,9.676080628,14.30849983,10.30767016,0.129062129,41.24777577,24.58438242,104.7986328,0
23,01-02-23 0:22,192.168.58.190,70.57836179,1.865741495,1.366318211,119.9832341,-51.72993123,19.66408066,94.53384849,2.655410676,3,12.72230953,13.19880325,10.91987222,12.21659866,0.127351679,39.20416367,25.35028346,117.0913152,0
24,01-02-23 0:23,192.168.195.181,51.60724494,1.953547103,1.371151089,111.2393138,-49.44922498,17.54582271,69.12421818,5.912721429,2,13.05135837,9.894921658,19.49467267,13.96149587,0.084723717,49.86343255,29.59911641,117.2742593,0
25,01-02-23 0:24,192.168.1.58,47.9058613,2.13674526,1.139571848,57.22304984,-51.35456921,14.78693968,71.07861177,5.819698427,1,7.452243617,9.54371295,15.52699495,14.36831003,0.130281107,28.80338786,37.12087231,84.45142162,0
26,01-02-23 0:25,192.168.190.56,31.19936012,1.367241211,1.254109461,101.0792545,-53.030633,21.66646345,105.9164155,2.936923878,2,7.042626845,9.271944898,13.09542277,9.854339914,0.103525499,46.65694323,35.75373463,83.49484463,0
27,01-02-23 0:26,192.168.252.168,59.21829922,1.811960411,0.678405999,104.6352713,-47.79166279,19.93442006,67.96040968,4.540387539,9,10.72130696,12.35936931,12.67784981,14.9642545,0.092041009,57.69888366,35.60618704,124.3254016,0
28,01-02-23 0:27,192.168.141.151,49.36333931,2.154159754,0.582307119,110.9477546,-44.69214661,23.24745359,71.2357058,4.279824463,5,9.397611602,11.01018973,15.38413029,15.06169171,0.095311687,37.55483729,29.37268322,67.75714195,0
29,01-02-23 0:28,192.168.34.28,48.69082978,1.862300914,1.587767576,138.7969588,-56.47187793,13.11024687,92.97018375,4.304817374,4,11.59708578,12.1889213,16.66268927,17.40503131,0.091210457,35.63742852,28.2418329,92.66646699,0
30,01-02-23 0:29,192.168.254.177,44.77039764,2.09442519,0.709568559,112.1630639,-45.24478458,24.03328727,95.00193379,4.729010385,3,5.152973989,12.6068153,14.97378435,12.99862605,0.118333816,26.1520025,31.22236022,70.93587182,0
31,01-02-23 0:30,192.168.218.139,43.83096883,2.399229581,0.888530344,92.43370745,-49.71540401,13.14613246,83.9870455,4.058537052,4,11.77451395,12.31358984,5.065181381,14.63579322,0.1065876,40.05605031,30.4113301,80.63826942,0
32,01-02-23 0:31,192.168.135.150,35.71663064,1.725313597,0.563338526,90.96367675,-48.20674968,16.42925316,77.92014298,4.723228386,6,8.954762973,11.47168576,16.38767064,14.94364158,0.102355396,22.27068307,34.56269152,92.36270886,0
33,01-02-23 0:32,192.168.122.246,35.26399191,1.915543842,0.979138287,60.79688604,-63.56709902,18.78423254,66.4712581,3.425512255,3,10.7686995,9.189517659,10.20338234,12.40313297,0.084803468,54.33555873,34.37250106,118.8443446,0
34,01-02-23 0:33,192.168.147.68,57.85136212,1.234247543,0.897921166,107.0395743,-46.69908794,22.13366454,71.40718399,4.609575944,7,9.344388851,11.38628201,17.7685656,16.79818519,0.091900185,34.8100935,19.1160433,169.7971391,0
35,01-02-23 0:34,192.168.65.76,43.02524784,1.284832689,0.547726392,87.0120994,-52.72448275,12.03640829,79.99246657,5.277970516,0,12.34365712,12.15498651,14.48431596,15.05240177,0.075295579,52.68454196,28.34518453,125.2914329,0
